Words, Inverted Index ,,,,,,,,,,,,,,,,,,,,,,,,,
one,1,2,13,14,15,16,19,22,23,24,25,26,29,30,31,32,33,36,38,45,48,,,,,
wish,32,1,4,16,50,,,,,,,,,,,,,,,,,,,,,
dark,1,3,7,8,48,,,,,,,,,,,,,,,,,,,,,
tree,1,2,3,5,6,10,12,16,18,20,26,27,29,32,33,38,40,42,43,48,49,50,,,,
old,1,2,34,38,13,14,47,50,23,,,,,,,,,,,,,,,,,
firm,1,,,,,,,,,,,,,,,,,,,,,,,,,
scar,1,12,,,,,,,,,,,,,,,,,,,,,,,,
show,32,1,,,,,,,,,,,,,,,,,,,,,,,,
breeze,1,8,18,20,30,,,,,,,,,,,,,,,,,,,,,
were,1,,,,,,,,,,,,,,,,,,,,,,,,,
mere,1,25,,,,,,,,,,,,,,,,,,,,,,,,
mask,1,,,,,,,,,,,,,,,,,,,,,,,,,
gloom,1,39,11,13,15,,,,,,,,,,,,,,,,,,,,,
stretch,1,,,,,,,,,,,,,,,,,,,,,,,,,
away,1,2,3,7,8,10,11,15,16,21,22,23,25,28,29,32,34,35,46,47,49,50,,,,
unto,1,15,,,,,,,,,,,,,,,,,,,,,,,,
edge,16,1,,,,,,,,,,,,,,,,,,,,,,,,
doom,1,,,,,,,,,,,,,,,,,,,,,,,,,
withhold,1,,,,,,,,,,,,,,,,,,,,,,,,,
day,1,34,3,36,35,38,7,39,10,11,43,16,50,23,24,25,28,29,30,,,,,,,
vast,1,,,,,,,,,,,,,,,,,,,,,,,,,
steal,1,,,,,,,,,,,,,,,,,,,,,,,,,
fearless,1,,,,,,,,,,,,,,,,,,,,,,,,,
ever,1,2,34,43,13,22,23,31,,,,,,,,,,,,,,,,,,
find,1,35,37,39,8,9,44,14,20,21,22,23,24,25,30,,,,,,,,,,,
open,1,4,42,13,22,,,,,,,,,,,,,,,,,,,,,
land,1,23,25,28,29,30,,,,,,,,,,,,,,,,,,,,
highway,1,38,31,,,,,,,,,,,,,,,,,,,,,,,
slow,1,2,29,41,,,,,,,,,,,,,,,,,,,,,,
wheel,1,44,,,,,,,,,,,,,,,,,,,,,,,,
pour,1,,,,,,,,,,,,,,,,,,,,,,,,,
sand,1,39,,,,,,,,,,,,,,,,,,,,,,,,
see,1,3,4,37,36,39,40,43,47,16,18,23,25,26,27,30,,,,,,,,,,
who,1,3,15,50,19,,,,,,,,,,,,,,,,,,,,,
e,1,,,,,,,,,,,,,,,,,,,,,,,,,
er,1,2,6,9,22,30,,,,,,,,,,,,,,,,,,,,
turn,1,4,36,9,13,18,22,,,,,,,,,,,,,,,,,,,
back,1,2,33,39,45,14,15,28,,,,,,,,,,,,,,,,,,
set,1,49,18,50,22,,,,,,,,,,,,,,,,,,,,,
forth,1,4,5,50,22,23,24,28,,,,,,,,,,,,,,,,,,
upon,1,33,37,8,43,14,22,30,,,,,,,,,,,,,,,,,,
track,1,,,,,,,,,,,,,,,,,,,,,,,,,
overtake,1,,,,,,,,,,,,,,,,,,,,,,,,,
miss,1,12,,,,,,,,,,,,,,,,,,,,,,,,
long,1,37,11,15,16,19,23,24,27,30,,,,,,,,,,,,,,,,
know,1,2,3,4,8,11,13,15,18,19,20,25,26,29,30,32,33,38,43,47,50,,,,,
still,1,33,35,7,41,10,12,44,47,16,18,20,22,24,31,,,,,,,,,,,
hold,32,1,35,14,49,22,23,,,,,,,,,,,,,,,,,,,
dear,1,,,,,,,,,,,,,,,,,,,,,,,,,
would,32,1,38,14,47,16,19,22,,,,,,,,,,,,,,,,,,
change,1,25,,,,,,,,,,,,,,,,,,,,,,,,
only,1,8,10,42,14,15,47,48,23,30,,,,,,,,,,,,,,,,
sure,1,47,23,,,,,,,,,,,,,,,,,,,,,,,
think,32,1,3,4,35,39,10,42,30,,,,,,,,,,,,,,,,,
wa,1,4,8,12,15,16,19,20,23,24,25,26,30,31,32,33,34,35,36,43,47,48,,,,
true,16,1,26,,,,,,,,,,,,,,,,,,,,,,,
dwell,1,2,50,15,,,,,,,,,,,,,,,,,,,,,,
lone,1,15,46,31,,,,,,,,,,,,,,,,,,,,,,
house,32,1,33,4,13,45,46,20,,,,,,,,,,,,,,,,,,
vanish,1,2,28,,,,,,,,,,,,,,,,,,,,,,,
man,32,1,2,33,4,43,12,14,18,23,24,26,31,,,,,,,,,,,,,
summer,1,2,36,38,13,24,,,,,,,,,,,,,,,,,,,,
ago,24,1,37,30,,,,,,,,,,,,,,,,,,,,,,
leave,1,4,9,11,12,13,16,17,19,20,23,24,26,28,29,30,31,32,37,38,39,40,42,43,46,
trace,1,39,,,,,,,,,,,,,,,,,,,,,,,,
cellar,1,2,33,,,,,,,,,,,,,,,,,,,,,,,
wall,1,33,36,5,39,9,41,42,25,29,31,,,,,,,,,,,,,,,
daylight,1,,,,,,,,,,,,,,,,,,,,,,,,,
fall,1,38,40,44,13,20,22,24,29,,,,,,,,,,,,,,,,,
purple,1,,,,,,,,,,,,,,,,,,,,,,,,,
stem,1,,,,,,,,,,,,,,,,,,,,,,,,,
wild,1,49,25,28,29,30,,,,,,,,,,,,,,,,,,,,
raspberri,1,,,,,,,,,,,,,,,,,,,,,,,,,
grow,1,2,7,15,50,,,,,,,,,,,,,,,,,,,,,
ruin,1,,,,,,,,,,,,,,,,,,,,,,,,,
fence,1,,,,,,,,,,,,,,,,,,,,,,,,,
grape,1,29,,,,,,,,,,,,,,,,,,,,,,,,
vine,1,,,,,,,,,,,,,,,,,,,,,,,,,
shield,1,,,,,,,,,,,,,,,,,,,,,,,,,
wood,32,1,2,38,13,47,16,19,20,24,25,26,28,31,,,,,,,,,,,,
come,1,2,3,4,5,7,8,9,13,15,16,22,23,24,25,28,31,32,35,36,37,38,40,45,47,49
now,1,12,5,,,,,,,,,,,,,,,,,,,,,,,
field,1,5,14,20,22,27,30,31,,,,,,,,,,,,,,,,,,
orchard,1,10,,,,,,,,,,,,,,,,,,,,,,,,
ha,1,2,33,38,39,42,15,22,23,26,,,,,,,,,,,,,,,,
cop,1,,,,,,,,,,,,,,,,,,,,,,,,,
new,1,20,25,,,,,,,,,,,,,,,,,,,,,,,
woodcock,1,,,,,,,,,,,,,,,,,,,,,,,,,
chop,1,22,,,,,,,,,,,,,,,,,,,,,,,,
footpaths,1,,,,,,,,,,,,,,,,,,,,,,,,,
well,1,35,40,15,18,19,20,21,25,26,,,,,,,,,,,,,,,,
heal,1,,,,,,,,,,,,,,,,,,,,,,,,,
strange,1,43,4,30,,,,,,,,,,,,,,,,,,,,,,
each,1,31,,,,,,,,,,,,,,,,,,,,,,,,
heart,1,4,7,21,22,23,25,29,31,,,,,,,,,,,,,,,,,
abode,1,,,,,,,,,,,,,,,,,,,,,,,,,
far,1,2,35,37,5,7,39,10,46,47,16,18,22,23,25,26,28,29,30,,,,,,,
apart,1,21,,,,,,,,,,,,,,,,,,,,,,,,
disuse,1,,,,,,,,,,,,,,,,,,,,,,,,,
forget,1,34,8,12,26,,,,,,,,,,,,,,,,,,,,,
road,1,4,7,41,43,47,28,,,,,,,,,,,,,,,,,,,
dust,1,36,38,11,30,,,,,,,,,,,,,,,,,,,,,
bath,1,9,,,,,,,,,,,,,,,,,,,,,,,,
told,1,,,,,,,,,,,,,,,,,,,,,,,,,
night,1,33,4,39,8,9,10,40,14,15,46,,,,,,,,,,,,,,,
black,1,,,,,,,,,,,,,,,,,,,,,,,,,
bat,1,14,,,,,,,,,,,,,,,,,,,,,,,,
tumble,1,,,,,,,,,,,,,,,,,,,,,,,,,
dart,1,10,,,,,,,,,,,,,,,,,,,,,,,,
whippoorwil,1,,,,,,,,,,,,,,,,,,,,,,,,,
shout,1,37,41,49,22,,,,,,,,,,,,,,,,,,,,,
hush,1,13,49,20,22,27,29,,,,,,,,,,,,,,,,,,,
clock,1,,,,,,,,,,,,,,,,,,,,,,,,,
flutter,1,44,30,,,,,,,,,,,,,,,,,,,,,,,
hear,32,1,35,38,10,20,22,26,27,,,,,,,,,,,,,,,,,
begin,1,26,29,,,,,,,,,,,,,,,,,,,,,,,
enough,32,1,48,25,,,,,,,,,,,,,,,,,,,,,,
full,1,14,30,,,,,,,,,,,,,,,,,,,,,,,
time,32,1,36,41,46,24,25,28,,,,,,,,,,,,,,,,,,
say,32,1,2,35,38,39,8,43,13,45,15,16,48,50,21,23,28,30,,,,,,,,
hi,1,33,4,39,41,43,44,14,16,22,23,24,25,26,30,,,,,,,,,,,
before,1,3,36,12,44,15,48,23,26,28,,,,,,,,,,,,,,,,
arrive,1,,,,,,,,,,,,,,,,,,,,,,,,,
small,32,1,34,36,12,,,,,,,,,,,,,,,,,,,,,
dim,1,22,,,,,,,,,,,,,,,,,,,,,,,,
star,1,33,6,39,15,,,,,,,,,,,,,,,,,,,,,
mute,1,14,,,,,,,,,,,,,,,,,,,,,,,,
folk,1,2,,,,,,,,,,,,,,,,,,,,,,,,
share,1,,,,,,,,,,,,,,,,,,,,,,,,,
unit,8,1,,,,,,,,,,,,,,,,,,,,,,,,
place,32,1,6,12,14,15,50,20,21,23,,,,,,,,,,,,,,,,
stone,1,28,41,,,,,,,,,,,,,,,,,,,,,,,
low,16,1,32,7,,,,,,,,,,,,,,,,,,,,,,
limb,1,22,,,,,,,,,,,,,,,,,,,,,,,,
doubtless,1,39,,,,,,,,,,,,,,,,,,,,,,,,
bear,1,4,43,50,22,23,,,,,,,,,,,,,,,,,,,,
name,38,1,35,22,,,,,,,,,,,,,,,,,,,,,,
moss,1,25,,,,,,,,,,,,,,,,,,,,,,,,
may,32,1,2,35,4,12,46,47,48,19,23,29,,,,,,,,,,,,,,
tireless,48,1,,,,,,,,,,,,,,,,,,,,,,,,
sad,1,5,11,45,30,,,,,,,,,,,,,,,,,,,,,
though,1,12,16,20,22,26,,,,,,,,,,,,,,,,,,,,
two,1,4,36,7,13,48,17,24,30,,,,,,,,,,,,,,,,,
close,32,1,5,13,50,22,27,,,,,,,,,,,,,,,,,,,
keep,32,1,33,10,48,18,25,31,,,,,,,,,,,,,,,,,,
last,32,1,5,42,14,15,22,23,26,31,,,,,,,,,,,,,,,,
lad,1,,,,,,,,,,,,,,,,,,,,,,,,,
none,1,37,12,13,22,25,30,,,,,,,,,,,,,,,,,,,
among,1,26,14,,,,,,,,,,,,,,,,,,,,,,,
sing,1,38,45,22,27,28,,,,,,,,,,,,,,,,,,,,
yet,32,1,4,36,6,39,12,23,30,,,,,,,,,,,,,,,,,
view,1,36,22,31,,,,,,,,,,,,,,,,,,,,,,
thing,1,33,37,38,39,45,14,15,22,24,30,31,,,,,,,,,,,,,,
sweet,1,12,14,16,19,22,,,,,,,,,,,,,,,,,,,,
companion,1,,,,,,,,,,,,,,,,,,,,,,,,,
sorrow,24,1,,,,,,,,,,,,,,,,,,,,,,,,
autumn,1,4,20,,,,,,,,,,,,,,,,,,,,,,,
rain,1,34,28,9,,,,,,,,,,,,,,,,,,,,,,
beauty,1,3,22,39,,,,,,,,,,,,,,,,,,,,,,
love,1,3,4,37,6,39,8,40,10,19,23,28,30,31,,,,,,,,,,,,
bare,32,1,3,5,44,,,,,,,,,,,,,,,,,,,,,
either,1,37,42,14,30,31,,,,,,,,,,,,,,,,,,,,
walk,1,11,35,41,,,,,,,,,,,,,,,,,,,,,,
sodden,1,,,,,,,,,,,,,,,,,,,,,,,,,
pasteur,32,1,42,44,22,25,,,,,,,,,,,,,,,,,,,,
lane,1,,,,,,,,,,,,,,,,,,,,,,,,,
pleasure,1,10,30,,,,,,,,,,,,,,,,,,,,,,,
let,32,1,4,47,16,27,30,31,,,,,,,,,,,,,,,,,,
stay,1,39,50,20,26,,,,,,,,,,,,,,,,,,,,,
talk,1,35,36,41,50,,,,,,,,,,,,,,,,,,,,,
fain,1,23,15,,,,,,,,,,,,,,,,,,,,,,,
list,8,1,15,,,,,,,,,,,,,,,,,,,,,,,
glad,1,3,39,45,30,,,,,,,,,,,,,,,,,,,,,
bird,1,5,38,8,10,44,45,15,48,20,27,28,30,,,,,,,,,,,,,
go,1,5,7,9,11,13,15,20,22,23,24,26,28,29,31,32,36,37,38,40,41,42,46,47,49,50
simple,32,1,39,10,12,22,,,,,,,,,,,,,,,,,,,,
bad,32,1,,,,,,,,,,,,,,,,,,,,,,,,
gray,46,1,25,30,,,,,,,,,,,,,,,,,,,,,,
silver,1,4,20,44,,,,,,,,,,,,,,,,,,,,,,
ll,1,30,,,,,,,,,,,,,,,,,,,,,,,,
mist,1,37,15,29,30,,,,,,,,,,,,,,,,,,,,,
devil,1,36,,,,,,,,,,,,,,,,,,,,,,,,
desert,1,,,,,,,,,,,,,,,,,,,,,,,,,
fade,1,37,5,11,15,,,,,,,,,,,,,,,,,,,,,
earth,1,39,40,18,22,25,,,,,,,,,,,,,,,,,,,,
heavy,1,33,5,15,,,,,,,,,,,,,,,,,,,,,,
sky,1,42,4,49,,,,,,,,,,,,,,,,,,,,,,
truly,1,,,,,,,,,,,,,,,,,,,,,,,,,
eye,1,33,4,6,14,25,26,,,,,,,,,,,,,,,,,,,
vex,1,,,,,,,,,,,,,,,,,,,,,,,,,
reason,1,31,,,,,,,,,,,,,,,,,,,,,,,,
yesterday,1,,,,,,,,,,,,,,,,,,,,,,,,,
learn,1,46,,,,,,,,,,,,,,,,,,,,,,,,
november,1,,,,,,,,,,,,,,,,,,,,,,,,,
snow,32,1,34,33,37,6,7,8,9,39,22,24,28,30,31,,,,,,,,,,,
vain,1,28,23,,,,,,,,,,,,,,,,,,,,,,,
tell,32,1,35,43,46,15,16,21,25,,,,,,,,,,,,,,,,,
good,32,1,43,45,22,,,,,,,,,,,,,,,,,,,,,
pray,1,13,,,,,,,,,,,,,,,,,,,,,,,,
stranger,32,1,4,,,,,,,,,,,,,,,,,,,,,,,
door,1,33,9,13,46,50,20,,,,,,,,,,,,,,,,,,,
eve,1,20,,,,,,,,,,,,,,,,,,,,,,,,
speak,1,35,13,49,19,21,22,30,,,,,,,,,,,,,,,,,,
bridegroom,1,4,,,,,,,,,,,,,,,,,,,,,,,,
fair,24,1,20,30,,,,,,,,,,,,,,,,,,,,,,
green,1,19,,,,,,,,,,,,,,,,,,,,,,,,
white,1,6,40,9,10,18,50,22,,,,,,,,,,,,,,,,,,
stick,1,37,9,,,,,,,,,,,,,,,,,,,,,,,
hand,1,33,43,13,48,19,20,24,25,,,,,,,,,,,,,,,,,
burden,1,,,,,,,,,,,,,,,,,,,,,,,,,
care,1,45,13,22,26,,,,,,,,,,,,,,,,,,,,,
ask,32,1,4,13,15,,,,,,,,,,,,,,,,,,,,,
lip,1,,,,,,,,,,,,,,,,,,,,,,,,,
shelter,1,,,,,,,,,,,,,,,,,,,,,,,,,
look,32,1,33,4,8,41,43,16,17,18,20,25,31,,,,,,,,,,,,,
afar,1,21,14,49,,,,,,,,,,,,,,,,,,,,,,
without,32,1,36,6,19,20,22,,,,,,,,,,,,,,,,,,,
window,1,35,7,8,9,15,48,50,27,,,,,,,,,,,,,,,,,
light,1,33,8,14,15,46,21,22,26,,,,,,,,,,,,,,,,,
porch,1,,,,,,,,,,,,,,,,,,,,,,,,,
us,32,1,7,10,12,13,47,17,20,21,22,29,,,,,,,,,,,,,,
question,1,11,38,31,,,,,,,,,,,,,,,,,,,,,,
wooden,1,4,,,,,,,,,,,,,,,,,,,,,,,,
litter,1,13,,,,,,,,,,,,,,,,,,,,,,,,
yard,32,1,,,,,,,,,,,,,,,,,,,,,,,,
burri,1,,,,,,,,,,,,,,,,,,,,,,,,,
blue,1,5,43,18,25,,,,,,,,,,,,,,,,,,,,,
ye,40,1,,,,,,,,,,,,,,,,,,,,,,,,
winter,8,1,33,,,,,,,,,,,,,,,,,,,,,,,
wind,1,6,7,8,12,13,27,28,29,30,,,,,,,,,,,,,,,,
within,32,1,4,39,8,13,20,,,,,,,,,,,,,,,,,,,
bride,1,,,,,,,,,,,,,,,,,,,,,,,,,
dusk,1,,,,,,,,,,,,,,,,,,,,,,,,,
along,1,33,36,40,14,24,29,,,,,,,,,,,,,,,,,,,
bent,1,44,,,,,,,,,,,,,,,,,,,,,,,,
fire,1,46,7,,,,,,,,,,,,,,,,,,,,,,,
face,1,18,42,15,,,,,,,,,,,,,,,,,,,,,,
rise,1,28,13,14,,,,,,,,,,,,,,,,,,,,,,
red,1,,,,,,,,,,,,,,,,,,,,,,,,,
glow,1,11,,,,,,,,,,,,,,,,,,,,,,,,
coal,1,,,,,,,,,,,,,,,,,,,,,,,,,
thought,32,1,5,39,8,49,22,,,,,,,,,,,,,,,,,,,
desire,1,,,,,,,,,,,,,,,,,,,,,,,,,
weary,1,43,,,,,,,,,,,,,,,,,,,,,,,,
case,1,33,21,23,,,,,,,,,,,,,,,,,,,,,,
gold,1,19,22,,,,,,,,,,,,,,,,,,,,,,,
pin,1,4,,,,,,,,,,,,,,,,,,,,,,,,
little,1,8,11,48,22,25,,,,,,,,,,,,,,,,,,,,
give,32,1,33,8,9,10,46,47,22,23,,,,,,,,,,,,,,,,
dole,1,,,,,,,,,,,,,,,,,,,,,,,,,
bread,1,47,,,,,,,,,,,,,,,,,,,,,,,,
our,1,4,,,,,,,,,,,,,,,,,,,,,,,,
heartfelt,1,,,,,,,,,,,,,,,,,,,,,,,,,
prayer,1,12,,,,,,,,,,,,,,,,,,,,,,,,
poor,1,47,,,,,,,,,,,,,,,,,,,,,,,,
god,1,10,21,22,23,26,30,,,,,,,,,,,,,,,,,,,
rich,1,,,,,,,,,,,,,,,,,,,,,,,,,
whether,32,1,7,49,26,,,,,,,,,,,,,,,,,,,,,
harbor,1,,,,,,,,,,,,,,,,,,,,,,,,,
woe,1,22,,,,,,,,,,,,,,,,,,,,,,,,
bridal,1,,,,,,,,,,,,,,,,,,,,,,,,,
heedless,1,,,,,,,,,,,,,,,,,,,,,,,,,
aftermath,1,,,,,,,,,,,,,,,,,,,,,,,,,
smooth,40,1,,,,,,,,,,,,,,,,,,,,,,,,
lay,32,1,19,20,25,,,,,,,,,,,,,,,,,,,,,
like,32,1,33,37,6,40,9,10,14,47,18,20,24,28,30,,,,,,,,,,,
thatch,1,,,,,,,,,,,,,,,,,,,,,,,,,
dew,1,44,13,15,,,,,,,,,,,,,,,,,,,,,,
half,1,37,8,43,25,26,,,,,,,,,,,,,,,,,,,,
garden,1,13,5,,,,,,,,,,,,,,,,,,,,,,,
path,1,,,,,,,,,,,,,,,,,,,,,,,,,
grind,1,,,,,,,,,,,,,,,,,,,,,,,,,
whip,1,,,,,,,,,,,,,,,,,,,,,,,,,
sober,1,,,,,,,,,,,,,,,,,,,,,,,,,
tangle,1,30,,,,,,,,,,,,,,,,,,,,,,,,
weed,8,1,40,37,,,,,,,,,,,,,,,,,,,,,,
and,1,13,33,,,,,,,,,,,,,,,,,,,,,,,
word,1,35,38,13,49,21,23,,,,,,,,,,,,,,,,,,,
beside,32,1,11,44,19,20,25,,,,,,,,,,,,,,,,,,,
stand,1,33,41,10,43,13,16,22,25,,,,,,,,,,,,,,,,,
leaf,1,29,,,,,,,,,,,,,,,,,,,,,,,,
linger,1,,,,,,,,,,,,,,,,,,,,,,,,,
brown,1,9,,,,,,,,,,,,,,,,,,,,,,,,
disturb,1,33,,,,,,,,,,,,,,,,,,,,,,,,
doubt,32,1,7,44,22,26,28,,,,,,,,,,,,,,,,,,,
softly,1,,,,,,,,,,,,,,,,,,,,,,,,,
rattle,46,1,9,,,,,,,,,,,,,,,,,,,,,,,
end,1,41,10,21,22,31,,,,,,,,,,,,,,,,,,,,
pick,32,1,12,,,,,,,,,,,,,,,,,,,,,,,
remain,1,18,,,,,,,,,,,,,,,,,,,,,,,,
after,1,31,,,,,,,,,,,,,,,,,,,,,,,,
flower,1,35,38,8,9,10,11,12,13,44,15,19,22,24,25,28,30,31,,,,,,,,
carry,1,43,23,,,,,,,,,,,,,,,,,,,,,,,
countless,1,,,,,,,,,,,,,,,,,,,,,,,,,
congress,1,,,,,,,,,,,,,,,,,,,,,,,,,
tumult,1,,,,,,,,,,,,,,,,,,,,,,,,,
flow,1,9,,,,,,,,,,,,,,,,,,,,,,,,
shape,24,1,12,,,,,,,,,,,,,,,,,,,,,,,
tall,1,12,14,41,,,,,,,,,,,,,,,,,,,,,,
wintry,1,,,,,,,,,,,,,,,,,,,,,,,,,
blow,1,34,37,16,23,28,31,,,,,,,,,,,,,,,,,,,
keen,1,,,,,,,,,,,,,,,,,,,,,,,,,
fate,1,22,30,,,,,,,,,,,,,,,,,,,,,,,
faster,1,,,,,,,,,,,,,,,,,,,,,,,,,
step,1,26,,,,,,,,,,,,,,,,,,,,,,,,
